Model,Epoch,Avg_Loss,Alpha,Logic_Pearson,Logic_Spearman,Perception_Pearson,Perception_Spearman,Knowledge_Pearson,Knowledge_Spearman,Fear_Pearson,Fear_Spearman,Desire_Pearson,Desire_Spearman,Stress_Pearson,Stress_Spearman
No Decay,1,0.0586,0.1,0.5432,0.5456,0.4902,0.4885,0.5036,0.5047,0.4759,0.589,0.4919,0.5834,0.5849,0.6112
No Decay,2,0.041,0.1,0.6048,0.6082,0.554,0.5511,0.5667,0.5637,0.5765,0.6739,0.5764,0.661,0.6549,0.6821
No Decay,3,0.0373,0.1,0.6363,0.6407,0.5882,0.5858,0.5969,0.5953,0.6103,0.6865,0.6103,0.6867,0.6795,0.708
No Decay,4,0.0357,0.1,0.6474,0.652,0.6035,0.6001,0.6172,0.617,0.6244,0.6896,0.6225,0.6931,0.6927,0.7221
No Decay,5,0.0346,0.1,0.6631,0.6686,0.621,0.6182,0.6361,0.6361,0.6389,0.6949,0.6393,0.7071,0.7043,0.7329
No Decay,6,0.0335,0.1,0.6774,0.6841,0.6335,0.631,0.6493,0.6501,0.6508,0.7001,0.6478,0.7119,0.7137,0.7429
No Decay,7,0.0328,0.1,0.6869,0.6926,0.6456,0.6415,0.6616,0.662,0.66,0.7034,0.6575,0.7196,0.722,0.7502
No Decay,8,0.0322,0.1,0.6962,0.7023,0.6586,0.6574,0.6735,0.6744,0.6627,0.7006,0.6663,0.7216,0.7273,0.754
No Decay,9,0.0312,0.1,0.7038,0.7097,0.6683,0.6641,0.6848,0.6855,0.6797,0.7113,0.6788,0.728,0.7421,0.7673
No Decay,10,0.0295,0.1,0.7191,0.7255,0.6853,0.682,0.6984,0.6992,0.694,0.7144,0.6939,0.7417,0.7518,0.7756
No Decay,11,0.0284,0.1,0.7321,0.7385,0.6971,0.6938,0.7141,0.7165,0.7094,0.7229,0.7075,0.7501,0.7659,0.7881
No Decay,12,0.0268,0.1,0.7456,0.752,0.7112,0.707,0.7278,0.7301,0.7284,0.7315,0.717,0.7584,0.7784,0.7979
No Decay,13,0.0252,0.1,0.7591,0.7661,0.7316,0.7283,0.7441,0.7466,0.747,0.7412,0.7324,0.7672,0.7931,0.8099
No Decay,14,0.0237,0.1,0.7715,0.778,0.7494,0.7468,0.7592,0.7623,0.7642,0.7467,0.7435,0.7744,0.805,0.8201
No Decay,15,0.0219,0.1,0.7806,0.7868,0.7593,0.7555,0.7691,0.7731,0.7752,0.7489,0.7548,0.7788,0.8116,0.8255
No Decay,16,0.0202,0.1,0.7933,0.7994,0.7789,0.7763,0.7852,0.7894,0.7929,0.7595,0.7683,0.7888,0.8252,0.8359
No Decay,17,0.0186,0.1,0.8042,0.8098,0.7914,0.7871,0.7968,0.8014,0.8054,0.7721,0.7806,0.7964,0.8351,0.8457
No Decay,18,0.0169,0.1,0.8157,0.8219,0.8047,0.8008,0.8103,0.8152,0.8158,0.7775,0.7921,0.8055,0.8446,0.8544
No Decay,19,0.0156,0.1,0.822,0.8283,0.8142,0.8107,0.821,0.8263,0.8248,0.7836,0.8023,0.8077,0.8482,0.8571
No Decay,20,0.0145,0.1,0.832,0.8384,0.8231,0.8184,0.83,0.8356,0.8324,0.7871,0.8101,0.8143,0.8572,0.8645
